
wl  system                 total_kops   nlogs notes

a   disco-skip-cache1             101       1 
a   disco-skip-cache0              34       1 
a   swarm-kv                      150       1 
a   fusee                         114       1 

b   disco-skip-cache1             232       1 
b   disco-skip-cache0              46       1 
b   swarm-kv                      199       1 
b   fusee                         209       1 

c   disco-skip-cache1             272       1 
c   disco-skip-cache0              47       1 
c   swarm-kv                      209       1 
c   fusee                         227       1 

d   disco-skip-cache1             241       1 
d   disco-skip-cache0              49       1 
d   swarm-kv                      252       1 
d   fusee                         245       1 

results -> /users/adb321/disco-skip-artifacts/experiments/compare/results/abcd-20260911T191525Z
